NPC_Profile_1,NPC_Profile_2,NPC_Profile_3,NPC_Profile_4,NPC_Profile_5,NPC_Profile_6,NPC_Profile_7,NPC_Profile_8,NPC_Profile_9,NPC_Profile_10,NPC_Profile_11,NPC_Profile_12,NPC_Profile_13,NPC_Profile_14,NPC_Profile_15,NPC_Profile_16,NPC_Profile_17,NPC_Profile_18,NPC_Profile_19,NPC_Profile_20,NPC_Profile_21,NPC_Profile_22,NPC_Profile_23,NPC_Profile_24,NPC_Profile_25
38.15,43.35,46.7,48.6,60.2,69.75,74.2,82,98.7,100.9,84.95,62.95,54,57.05,60,64.1,85.25,93.25,69.05,54.8,42.3,31.75,31.75,30.5,28.6
18.2,23.25,24.65,21.95,23.15,29.6,42.95,72.3,88.6,76.25,65.8,58.15,79,65.1,65.65,86.8,97.35,91.75,72.2,60.4,49.85,49.2,48.25,46.1,47.35
27.15,31.75,35.95,38.35,42.05,51.7,58.4,75.5,82.45,88.55,76.1,47.6,48,40.15,54.3,72.7,81.4,71.35,45.1,36.55,33.4,27.55,25.8,24.1,24.9
28.35,32.45,34.05,32.25,33.05,39.15,48.6,76,80.4,79.05,61.6,37.55,22,46.7,52.45,70,83.9,84.15,73.05,66.3,65.95,64.5,59.25,54.95,48.35
13.85,17.3,18.1,20.75,24.15,33.85,43.8,57.25,80.85,85.65,54.2,26.45,25,34.55,46.1,67.2,92.15,93.4,70.2,57.4,43.6,41.9,45.55,46.05,42
26.65,27.85,25.4,22.85,24,26.5,38.05,59.6,80.95,82.1,79.25,63.95,76,53.55,57.3,72.85,80.6,76.05,41.8,32.1,26.15,23.65,20.85,21,16.25
19.35,22.85,27.85,25.3,30.75,42.55,51.3,64.4,72.5,72,61.45,51.6,40,54.4,66.8,79,91.25,76.85,48.35,31.45,19.85,18.75,18.4,19.2,16.55
32.95,41.55,46.8,52.65,57.1,62.6,64.7,70.55,91.15,97.45,85.2,79.05,69,68.45,75.7,88.2,87.15,92.65,84.9,79.2,71.4,70.05,63.5,59.7,46
43.2,45.5,51.85,58.3,67.6,76.25,77.45,93.35,99.2,86,75.5,67.2,77,53.3,63.65,82.2,91.1,73.65,45.6,38.8,42.95,43.7,44.35,39.55,32.25
64.3,70.3,63.6,58.65,54.95,55.45,57.55,69.1,71.15,67.5,50.2,23,21,29.5,52.45,58.2,66.35,79.5,77.8,73.9,67.65,61.5,61.9,56.95,46.25
27.35,29.55,30.2,34.15,40.75,46.05,49.65,64.25,68.85,46.65,25.4,25.15,27,22.85,24.05,41.75,77.75,63.35,46.2,39.4,36.25,39.75,46.5,42.4,35.15
44.25,57.3,60.95,60.35,62.35,65,62.35,75.45,96.3,86.5,63.75,35.45,36,45.3,49.8,71.05,82.85,85.15,63,55.9,63.45,60.95,57.85,45.5,41.85
51.15,56.4,52.15,50.75,53.55,54.3,60.55,74.65,93.7,92.9,87.05,58.55,45,54.7,55.15,68.2,88.3,89,70,60.75,51.95,58.55,53.6,51.95,43.3
80.75,91.5,89.35,83.85,74.65,81.75,81.4,97.95,108.2,117.55,108.4,86.25,75,76.25,101.05,108.4,118.3,126.35,112.6,101.1,92.15,95,93.45,99.4,91
71.7,73.05,63.25,61.85,67.25,81.55,90.9,111.9,132.05,128.6,110.6,76.95,65,70.3,88.7,111.55,116.9,117.05,98.8,86.6,79.85,76.1,79.35,77.55,75.75
41.55,54.25,57.1,61.6,72.15,83.5,91.65,87.15,84.65,87,72.85,54.35,51,54.9,65.65,73.45,76.5,69.75,59.35,56.75,57.5,53.7,53.75,55.65,49.15
34,39.65,45.55,45.6,40,43.3,54.85,75.2,93.4,85.6,69.6,62.4,73,64.85,72.55,84.65,104.65,112.65,110.6,103.1,88.3,60.65,47.75,34.85,27.3
49.95,65.45,76.95,75.55,73.95,78.65,87.95,99.2,106.25,97.65,92.5,92,86,83.75,85.35,91,113.5,118.05,95.5,80.65,60.55,49.5,42.15,36.85,31.2
26.7,34.75,50.35,57.75,72.5,70.55,72.8,78.9,88.3,87.15,73.55,51.95,41,37.8,55.65,72.2,84.45,87.3,82.1,76.55,73.55,67.9,64.45,52.25,40.5
26.9,29.9,34.05,40.8,46.05,50.1,53.4,64.9,73.3,80.35,76.85,66,63,68,67.6,81.8,94.25,103.3,91.4,89.25,88.7,82.35,75.25,72.05,65.3
33.2,50.05,58.95,65.4,66,76.75,73.25,92.15,104.15,97.7,87,70.05,76,70.2,77.3,88.5,103.5,107.55,88.15,73,66.15,69.95,76.25,80,68.35
48.35,57.8,70.3,75.1,76.95,90.5,99.55,110.25,120.3,129.1,123.95,113.2,114,111.3,101,107.05,115.85,125.85,122.45,109.9,109.15,97.7,85.35,66.6,43.3
56.75,68.3,79,82.4,82.35,66.65,70.65,89.15,90.05,81,63.65,56.35,52,58.9,62.45,76.5,90.05,92.45,78.35,74.4,75.65,76.6,70.9,69,53.6
16,21.85,22.1,25,31.7,44.55,58.05,79.4,90,79.4,66.35,69.4,81,79.85,58.15,57.45,66.05,77,44.1,29.9,27.8,38.85,44.65,47.45,45.7
46.85,56.65,61.8,59.1,57.55,58.7,68.8,89.55,99.05,97.65,84.25,72,72,66,76.4,81.85,93.75,97.65,81.2,76.95,82.55,88.5,76.6,59.05,51.4
46.85,58.05,57.75,47.6,38.85,36.55,39,58.95,78.5,80.45,76.8,71.2,69,73.8,79.1,89.85,101.6,105.65,90.35,77.9,66.25,61.5,60.05,53.55,47.25
